ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
CURY3,SMALL11,Real Estate,69.19,90.51,35.34,65.79,91.67,11,Não,5,7,False,True,True,True,True,False,,True,False,9842120704.0,9.18,6.33,13.22,9.82,68.95,37.57,18.37,,1.94,0.71,0.27,31.950000762939453,22.02,40.32,44.72,19.88,104.41,46.27,40.32,36.29,13.59,44.82,n/d,2026-05-18,última,,,Em Baixa,32.72999954223633,-2.3831310424869634,-22.160124112985624,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.4%))
JHSF3,SMALL11,Real Estate,68.64,83.66,57.52,63.93,62.12,12,Não,4,7,False,True,True,False,True,False,,True,False,7273829376.0,3.9,1.06,6.16,7.91,27.12,12.14,53.01,,1.92,0.74,0.75,10.90999984741211,6.06,10.03,32.52,25.45,36.67,22.15,25.45,22.91,109.97,102.99,n/d,2026-08-31,próxima,,,Lateral,11.33961009979248,-3.7885804591132555,-22.91767044731219,True,False,False,sem sinal (Lateral; sem novo topo (-3.8%))
EZTC3,SMALL11,Real Estate,67.54,55.18,56.73,92.99,84.09,13,Não,2,7,False,False,False,False,True,False,,True,False,3109194752.0,5.51,0.6,10.31,5.5,10.89,5.88,37.12,,8.52,0.33,0.2,11.210000038146973,4.32,7.92,26.14,29.24,61.03,25.73,26.14,23.53,109.87,129.55,2026-08-06,2026-05-15,última,,,Em Baixa,12.260000228881836,-8.5644385899871,-32.43488032129317,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.6%))
PETR4,BOVA11,Energy,67.25,82.65,70.27,34.52,68.94,14,Não,5,7,False,True,True,True,True,False,,True,False,572226797568.0,5.09,1.23,6.99,39.11,24.17,16.79,21.6,,0.74,0.83,,41.880001068115234,114.95,166.2,83.48,79.39,,111.0,99.21,89.29,113.21,165.05,n/d,2026-06-02,última,,,Em Alta,43.41999816894531,-3.546746121080002,-14.80519825551696,True,False,False,sem sinal (Em Alta; sem novo topo (-3.5%))
WIZC3,SMALL11,Financial Services,66.91,84.6,43.75,,71.97,15,Não,4,6,False,True,True,True,,False,,True,False,1288852736.0,6.75,1.91,7.67,6.95,28.26,34.87,14.43,,,,,8.0600004196167,3.93,5.68,12.12,10.65,,8.09,8.16,7.35,-8.84,0.41,n/d,2026-04-29,última,,,Em Baixa,8.430000305175781,-4.389085079058807,-19.501040621526066,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.4%))
CYRE3,BOVA11,Consumer Cyclical,66.72,61.42,53.27,80.89,87.12,16,Não,4,7,False,True,True,False,True,False,,True,False,7891111424.0,4.9,0.91,10.83,7.26,18.6,6.91,20.76,,3.78,0.75,,21.540000915527344,10.98,15.87,44.6,48.39,,29.96,30.24,27.21,26.34,39.09,2026-08-13,2025-12-10,última,,,Em Baixa,22.5,-4.266662597656246,-40.19183036883267,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.3%))
INTB3,SMALL11,Industrials,66.71,72.69,40.62,88.0,76.52,17,Não,5,7,False,True,True,True,False,False,,True,True,4937615360.0,8.25,1.49,8.0,4.3,18.07,17.52,13.1,,2.64,0.26,0.58,15.09000015258789,4.56,8.34,23.5,20.42,34.03,18.17,20.42,18.37,21.76,20.4,n/d,2026-08-04,última,,,Lateral,15.020000457763672,0.46604322696965905,-3.6340137725454524,True,False,False,sem sinal (Lateral; sem novo topo (+0.5%))
DIRR3,SMALL11,Real Estate,66.43,74.34,43.92,66.85,92.42,18,Não,4,7,False,True,True,False,True,False,,True,False,6130844672.0,7.26,2.86,13.26,12.12,39.35,10.1,18.16,,4.26,1.3,0.25,11.789999961853027,10.03,18.36,20.87,12.27,48.72,22.05,18.36,16.52,40.15,87.02,n/d,2025-12-17,última,,,Em Baixa,12.670000076293945,-6.945541508617914,-31.68336303872702,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.9%))
LREN3,BOVA11,Consumer Cyclical,66.29,70.26,57.95,72.4,65.53,19,Não,6,7,False,True,True,True,False,True,,True,True,13121515520.0,9.21,1.33,6.66,4.35,14.41,23.76,9.37,,1.78,0.28,0.4,13.649999618530273,4.17,7.64,19.04,18.5,40.84,18.04,18.5,16.65,21.98,32.14,2026-08-06,2026-06-24,última,,,Em Baixa,14.100000381469727,-3.1914946862756532,-21.195693699934225,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.2%))
CEAB3,SMALL11,Consumer Cyclical,65.66,62.84,80.08,56.14,56.06,20,Não,4,7,False,True,True,True,False,False,,True,False,2775121408.0,5.33,0.79,5.37,6.49,14.79,14.93,7.32,,1.67,0.74,,9.25,4.21,6.09,17.61,21.38,,12.32,11.85,10.66,15.28,33.22,n/d,2025-12-26,última,,,Em Baixa,10.34000015258789,-10.541587393643182,-48.82169316919032,True,False,False,sem sinal (Em Baixa; sem novo topo (-10.5%))
PETR3,BOVA11,Energy,64.77,82.65,64.66,34.52,63.64,21,Não,5,7,False,True,True,True,True,False,,True,False,608605962240.0,5.77,1.39,6.17,37.2,24.17,16.79,21.6,,0.74,0.83,,47.220001220703125,123.28,178.24,83.03,79.09,,115.91,103.16,92.84,96.61,145.47,2026-08-06,2026-06-02,última,,,Em Alta,49.040000915527344,-3.7112554258700303,-13.53674279134298,True,False,False,sem sinal (Em Alta; sem novo topo (-3.7%))
ENJU3,SMALL11,Consumer Cyclical,63.18,6.72,93.66,90.36,97.73,22,Não,2,7,False,False,False,False,False,True,,False,True,155813664.0,-9.09,0.54,25.85,23.86,-5.92,-14.95,-6.61,,2.42,0.03,-2.93,0.7599999904632568,1.27,1.68,,,,1.47,1.47,1.33,74.62,94.02,n/d,n/d,,,,Em Baixa,0.9900000095367432,-23.232324935139314,-28.95697958964646,False,False,False,sem sinal (Em Baixa; sem novo topo (-23.2%))
VIVA3,BOVA11,Consumer Cyclical,62.94,78.42,38.47,90.23,39.39,23,Não,5,7,False,True,True,True,True,False,,True,False,5236457984.0,9.12,1.76,3.09,1.97,19.31,17.48,18.97,,4.14,0.41,,22.270000457763672,3.08,4.45,24.78,26.37,,14.67,14.61,13.15,-40.95,-34.14,n/d,2025-12-22,última,,,Em Baixa,23.520000457763672,-5.314625746902946,-37.951875989663804,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.3%))
TEND3,SMALL11,Real Estate,62.22,78.76,54.67,56.89,45.83,24,Não,5,7,False,True,True,True,False,True,,True,False,4083358720.0,6.75,2.54,3.87,3.86,37.61,14.39,13.44,,2.0,1.07,0.05,33.31999969482422,9.02,16.51,63.42,38.17,148.09,55.04,38.17,34.35,3.1,65.2,2026-11-04,2025-12-26,última,,,Em Baixa,33.040000915527344,0.8474539090139288,-12.177119396710733,True,False,False,sem sinal (Em Baixa; sem novo topo (+0.8%))
FESA4,SMALL11,Basic Materials,62.14,31.25,62.92,94.0,90.15,25,Não,1,7,False,False,False,False,False,False,,True,False,2019650816.0,13.46,0.66,11.4,8.28,4.93,4.41,7.06,,3.27,0.12,,5.960000038146973,3.46,5.01,4.49,9.49,,5.61,4.75,4.27,-28.27,-5.84,n/d,2025-11-06,última,,,Em Alta,6.159999847412109,-3.24675023083254,-33.033704566257114,True,False,False,sem sinal (Em Alta; sem novo topo (-3.2%))
KEPL3,SMALL11,Industrials,62.11,67.77,45.49,73.7,66.67,26,Não,5,7,False,True,True,True,False,False,,True,True,1093255808.0,7.72,1.44,6.81,16.5,18.67,13.9,10.19,,2.02,0.42,,6.309999942779541,7.31,10.56,8.29,8.98,,8.78,8.64,7.77,23.16,39.22,n/d,2025-12-16,última,,,Em Baixa,6.489999771118164,-2.7734951415508413,-39.90476244971865,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.8%))
LEVE3,SMALL11,Consumer Cyclical,61.54,85.53,46.05,28.72,80.3,27,Não,6,7,False,True,True,True,False,True,,True,True,4380620800.0,6.63,4.11,8.78,19.55,62.01,33.17,12.31,,1.37,1.44,0.19,32.31999969482422,44.34,81.18,62.63,29.37,146.24,72.75,62.63,56.37,74.41,125.1,n/d,2026-04-30,última,,,Em Baixa,32.47999954223633,-0.49261037459082946,-10.742887290810577,True,False,False,sem sinal (Em Baixa; sem novo topo (-0.5%))
JBSS3,BOVA11,,61.01,71.21,74.89,,9.47,28,Não,3,4,False,True,True,False,,,,,True,,3.69,0.84,0.0,0.0,22.87,11.19,,,,,,,,,,,,,,,,,n/d,n/d,,,,,,,,True,False,False,histórico insuficiente
MDIA3,SMALL11,Consumer Defensive,60.95,40.81,65.28,89.4,61.36,29,Não,2,7,False,False,False,False,False,True,,True,False,5896000512.0,8.52,0.71,6.03,3.22,8.33,9.09,6.67,,2.65,0.21,0.16,17.56999969482422,3.97,7.27,26.5,33.89,61.87,26.7,26.5,23.85,35.72,51.95,2026-08-13,2026-08-24,próxima,,,Em Baixa,18.008699417114258,-2.436043337328009,-39.346650055277784,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.4%))
SANB11,BOVA11,Financial Services,60.53,54.88,59.51,,75.76,30,Não,3,6,False,True,False,False,,True,,True,False,158248992768.0,7.04,1.11,7.93,7.32,15.69,0.0,28.66,,,,0.14,29.450000762939453,15.13,27.69,53.75,49.97,125.5,54.41,49.97,44.98,52.72,84.74,n/d,2026-07-22,última,,,Lateral,29.100000381469727,1.2027504360192287,-19.22450123222775,True,False,False,sem sinal (Lateral; sem novo topo (+1.2%))
ITSA4,BOVA11,Industrials,60.43,62.88,27.71,88.03,83.33,31,Não,4,7,False,True,True,False,True,False,,True,False,154101071872.0,9.01,1.7,9.59,9.4,18.83,0.36,203.02,,2.38,0.13,0.8,13.75,9.07,16.6,19.61,16.67,31.43,18.67,16.67,15.0,9.08,35.82,n/d,2026-09-01,próxima,,,Em Alta,13.930000305175781,-1.292177323994037,-8.639690213376506,True,False,False,sem sinal (Em Alta; sem novo topo (-1.3%))
SEER3,SMALL11,Consumer Defensive,60.29,69.06,70.46,40.55,45.83,32,Não,5,7,False,True,True,True,False,True,,True,False,1568495744.0,6.44,1.12,3.87,2.4,17.4,16.63,10.92,,1.56,1.16,0.09,12.25,2.07,3.78,24.44,21.64,57.07,21.8,21.64,19.47,58.96,77.95,n/d,2026-04-07,última,,,Em Alta,12.350000381469727,-0.8097196630031722,-13.305025472148092,True,False,False,sem sinal (Em Alta; sem novo topo (-0.8%))
BBDC3,BOVA11,Financial Services,59.98,51.05,59.85,,81.06,33,Não,1,6,False,False,False,False,,False,,True,False,178498519040.0,7.11,0.97,8.87,8.71,13.7,0.0,25.36,,,,,15.729999542236328,9.62,13.91,22.45,28.41,,18.6,18.18,16.36,4.0,18.22,2026-08-05,2026-08-04,última,,,Em Alta,16.502357482910156,-4.6802885071038025,-13.518320493405788,True,False,False,sem sinal (Em Alta; sem novo topo (-4.7%))
PSSA3,BOVA11,Financial Services,59.64,78.31,38.89,,57.58,34,Não,5,6,False,True,True,True,,True,,True,False,34177710080.0,9.53,2.26,5.55,5.33,23.7,77.55,8.31,,,,0.26,53.31999969482422,19.95,36.53,71.89,54.5,167.85,70.14,54.5,49.05,-8.01,31.55,2026-08-07,2026-06-23,última,,,Lateral,55.45000076293945,-3.8413003405021406,-4.014400671221918,True,False,False,sem sinal (Lateral; sem novo topo (-3.8%))
B3SA3,BOVA11,Financial Services,59.49,91.86,25.34,,52.27,35,Não,5,6,False,True,True,True,,True,,True,False,77623574528.0,15.99,4.34,4.93,3.55,27.15,21.56,46.96,,,,0.41,15.550000190734863,3.88,7.1,12.49,8.85,29.17,12.3,8.85,7.97,-48.75,-20.9,2026-08-11,2026-06-25,última,,,Em Alta,16.0,-2.8124988079071045,-22.369662117610556,True,False,False,sem sinal (Em Alta; sem novo topo (-2.8%))
MULT3,BOVA11,Real Estate,58.77,87.29,36.15,53.36,44.7,36,Não,5,7,False,True,False,True,True,True,,True,False,14063574016.0,10.76,2.21,3.86,3.71,20.52,18.7,43.42,,1.64,0.75,0.17,28.639999389648438,7.45,13.64,34.2,27.86,79.85,32.6,27.86,25.07,-12.45,13.82,2026-10-29,2026-07-01,última,,,Em Baixa,29.739999771118164,-3.6987235707311106,-18.81664471466188,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.7%))
GMAT3,SMALL11,Consumer Cyclical,58.73,54.62,72.33,61.72,37.12,37,Não,3,7,False,True,True,False,False,False,,True,False,9073769472.0,5.26,0.83,3.02,3.24,15.83,10.88,4.49,,1.71,0.56,,3.940000057220459,0.9,1.29,7.6,8.94,,4.68,4.45,4.0,1.59,18.88,n/d,2025-11-21,última,,,Em Alta,4.03000020980835,-2.2332542903805597,-48.05408968679825,True,False,False,sem sinal (Em Alta; sem novo topo (-2.2%))
COGN3,BOVA11,Consumer Defensive,58.72,44.99,75.05,60.83,55.3,38,Não,2,7,False,False,False,False,False,True,,True,False,4462740992.0,6.94,0.34,5.25,4.01,4.94,10.12,8.92,,1.65,0.49,0.13,2.2300000190734863,0.63,1.15,4.13,6.89,9.64,4.49,4.13,3.72,66.62,101.18,2026-08-12,2026-04-28,última,,,Lateral,2.3299999237060547,-4.291841541072261,-52.82163521208264,True,False,False,sem sinal (Lateral; sem novo topo (-4.3%))
PGMN3,SMALL11,Healthcare,58.67,45.88,75.92,50.02,65.53,39,Não,2,7,False,False,False,False,False,True,,True,False,2542121216.0,7.8,0.75,6.66,10.75,9.61,12.78,2.0,,1.73,1.07,0.01,3.5299999713897705,2.66,4.87,5.81,6.92,13.58,6.77,5.81,5.23,48.25,91.79,n/d,2025-12-26,última,,,Em Baixa,3.5399999618530273,-0.2824856093507466,-53.67454036213844,True,False,False,sem sinal (Em Baixa; sem novo topo (-0.3%))
CMIN3,BOVA11,Basic Materials,58.44,82.01,30.24,31.75,95.45,40,Pivô de alta,5,7,False,True,True,True,False,False,,True,True,32144490496.0,14.4,4.53,18.43,16.62,31.49,21.67,12.51,,1.37,1.31,,5.949999809265137,6.94,10.03,4.19,3.49,,6.16,5.57,5.01,-15.81,3.61,n/d,2026-04-17,última,"A CSN Mineração (CMIN3) apresenta uma dinâmica operacional altamente eficiente, com um retorno sobre o patrimônio líquido (ROE) de 31,5% e um retorno sobre o capital investido (ROIC) de 21,7% que se posicionam significativamente acima dos pares do setor de materiais básicos, sugerindo forte capacidade de geração de valor. Essa elevada qualidade operacional, contudo, não convive com múltiplos de valuation descontados, uma vez que o preço sobre lucro (P/L) de 14,4 e o preço sobre valor patrimonial (P/VP) de 4,53 revelam que o mercado cobra um prêmio pelo papel, desalinhando a relação de qualidade versus preço. No âmbito financeiro, a excelente rentabilidade mitiga parcialmente o risco do endividamento, cuja relação dívida sobre patrimônio de 1,31 exige atenção, embora a liquidez corrente de 1,37 assegure a solvência de curto prazo. O expressivo dividendo distribuído, com um rendimento (DY) de 18,43%, mostra-se muito atrativo, mas sua sustentabilidade futura pode ser pressionada pela contração recente nos resultados, evidenciada por uma taxa de crescimento anual composta (CAGR) de receita nos últimos cinco anos de -5,3%, desempenho que ficou bastante abaixo da média setorial de 17,4%. Esse descompasso de crescimento é refletido no checklist de critérios fundamentalistas, no qual a companhia atende a 5 de 7 requisitos, falhando justamente na expansão de receita e na margem líquida de 12,51%, que não atingiu o patamar mínimo desejado de 15%. Sob a ótica do valuation, a análise dos preços-teto revela uma dispersão acentuada entre os métodos de avaliação, variando desde os conservadores R$ 3,49 por Graham e R$ 4,19 por fluxo de caixa descontado até os otimistas R$ 6,94 por Bazin e R$ 10,03 por Gordon. Essa divergência resulta em uma média de R$ 6,16 e uma mediana de R$ 5,57, sendo que o preço-teto ajustado com margem de segurança de R$ 5,01 indica um potencial de queda (upside negativo) de 15,8% em relação ao preço atual de R$ 5,95, apesar de o papel demonstrar uma tendência gráfica de alta com pivô de alta armado. Como balanço final, os principais prós da empresa concentram-se em seus indicadores de rentabilidade excepcionais e no robusto retorno via dividendos, enquanto os contras residem no valuation esticado frente aos métodos clássicos, no endividamento moderadamente elevado e no histórico recente de retração de receita.",Pivô de alta,Em Alta,5.980000019073486,-0.5016757477033895,-6.635392574643939,True,True,True,Pivô de alta
ABCB4,SMALL11,Financial Services,58.31,54.95,48.95,,84.85,41,Rompimento,1,6,False,False,False,False,,False,,True,False,6213142016.0,6.2,0.87,10.58,10.04,14.08,0.0,41.54,,,,2.95,24.110000610351562,16.99,20.35,32.68,49.24,47.22,33.3,32.68,29.41,21.98,38.1,n/d,2026-06-30,última,"A análise fundamentalista do Banco ABC Brasil (ABCB4) revela um papel que transita entre uma avaliação atrativa por múltiplos e desafios operacionais de rentabilidade e crescimento quando comparado aos seus pares de serviços financeiros. O retorno sobre o patrimônio líquido (ROE) de 14,1% e o retorno sobre o capital investido (ROIC) de 0,0% situam-se abaixo das médias setoriais de 20,1% e 7,9%, respectivamente, sugerindo que a instituição enfrenta uma eficiência de capital inferior à de seus concorrentes diretos. Essa rentabilidade mais modesta convive com múltiplos de preço descontados, visto que o preço sobre lucro (P/L) de 6,2 e o preço sobre valor patrimonial (P/VP) de 0,87 indicam uma relação de qualidade versus preço bastante convidativa para o investidor focado em valor. O destaque do ativo reside em seu expressivo rendimento de dividendos (DY) de 10,58%, o qual se mostra sustentável e robusto frente à expressiva margem líquida de 41,54%, mesmo diante de um crescimento histórico tímido, evidenciado pelo CAGR de receita de cinco anos de 2,1%, patamar que fica abaixo da média setorial de 8,9%. No entanto, o checklist de critérios fundamentalistas acende um alerta ao registrar apenas um critério atendido de seis possíveis, refletindo que o banco falha em superar a taxa Selic e as médias do setor em termos de ROE, ROIC e crescimento de receita. Sob a ótica do valuation, as estimativas de preço-teto apresentam uma dispersão relevante entre os métodos, variando desde a postura mais conservadora do modelo de Gordon a R$ 21,41 até o otimismo de Lynch a R$ 49,25, estabelecendo uma mediana de R$ 42,46 que projeta um expressivo potencial de valorização (upside) de 76,3% em relação à cotação atual de R$ 24,08. Em suma, os principais prós de ABCB4 concentram-se em seu valuation descontado, na margem líquida robusta e no forte fluxo de proventos, enquanto os contras residem no fraco desempenho de crescimento frente ao setor, na rentabilidade abaixo dos pares e no baixo índice de aprovação em critérios de qualidade e governança do checklist.",Rompimento,Lateral,24.09000015258789,0.08302390052714603,-11.776718745707548,True,True,True,"Rompimento (vol x0.9, +0.1% do topo, MM50>MM200)"
LOGG3,SMALL11,Real Estate,58.16,54.53,55.79,37.84,98.48,42,Não,3,7,False,False,False,False,True,True,,True,False,2256548096.0,5.65,0.61,26.89,13.22,10.75,2.79,149.65,,0.45,0.63,0.11,25.809999465942383,23.94,43.83,58.69,65.95,137.04,65.89,58.69,52.82,104.67,155.3,2026-08-06,2026-06-12,última,,,Em Baixa,26.549999237060547,-2.787193191648818,-10.069690662618214,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.8%))
TAEE11,BOVA11,Utilities,58.07,75.37,30.97,53.48,78.03,43,Não,7,7,True,True,True,True,True,True,,True,True,41226313728.0,8.76,1.73,8.21,10.68,19.7,10.69,33.52,,2.29,1.49,,39.88999938964844,29.9,43.23,46.2,48.6,,41.99,44.72,40.25,0.89,5.25,n/d,2026-05-12,última,,,Em Baixa,41.59000015258789,-4.087522858144721,-10.392295088454794,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.1%))
HYPE3,BOVA11,Healthcare,58.05,62.28,49.37,68.58,51.52,44,Não,3,7,False,False,True,False,True,False,,True,False,15107673088.0,9.01,1.07,4.89,3.87,11.91,10.63,19.49,,1.96,0.62,0.1,21.459999084472656,5.83,10.67,30.6,32.78,71.45,30.27,30.6,27.54,28.34,41.04,2026-08-06,2026-06-29,última,,,Em Alta,21.649999618530273,-0.877600634666964,-19.93899784753179,True,False,False,sem sinal (Em Alta; sem novo topo (-0.9%))
